connect-probability	delete-probability	add-probability	n-node	slope	r	p
0.001	0.001	0.001	100	1.536	-0.925	0.0
0.001	0.001	0.01	100	0.568	-0.432	0.0
0.001	0.001	0.1	100	0.171	-0.09	0.0707416
0.001	0.001	0.9	100	-16.272	0.677	1e-07
0.001	0.01	0.001	100	1.68	-0.926	0.0
0.001	0.01	0.01	100	0.321	-0.261	0.0024227
0.001	0.01	0.1	100	0.065	-0.033	0.5096531
0.001	0.01	0.9	100	-16.238	0.667	0.0
0.001	0.1	0.001	100	1.693	-0.916	0.0
0.001	0.1	0.01	100	0.182	-0.135	0.1881964
0.001	0.1	0.1	100	-0.265	0.114	0.0445783
0.001	0.1	0.9	100	-13.69	0.494	1.2e-06
0.001	0.9	0.001	100	3.193	-0.937	0.0006056
0.001	0.9	0.01	100	0.169	-0.068	0.7648946
0.001	0.9	0.1	100	-1.842	0.23	0.0764781
0.001	0.9	0.9	100	-5.175	0.151	0.2273216
0.01	0.001	0.001	100	1.083	-0.835	0.0
0.01	0.001	0.01	100	0.14	-0.121	0.1482932
0.01	0.001	0.1	100	0.17	-0.092	0.0613137
0.01	0.001	0.9	100	-17.076	0.713	0.0
0.01	0.01	0.001	100	1.138	-0.838	0.0
0.01	0.01	0.01	100	0.176	-0.142	0.095383
0.01	0.01	0.1	100	-0.007	0.004	0.943315
0.01	0.01	0.9	100	-14.902	0.582	9e-07
0.01	0.1	0.001	100	1.346	-0.89	0.0
0.01	0.1	0.01	100	-0.107	0.081	0.4248897
0.01	0.1	0.1	100	-0.511	0.21	0.0003268
0.01	0.1	0.9	100	-15.607	0.591	0.0
0.01	0.9	0.001	100	2.879	-0.927	0.0009249
0.01	0.9	0.01	100	0.933	-0.363	0.1053862
0.01	0.9	0.1	100	0.65	-0.081	0.5490694
0.01	0.9	0.9	100	-4.322	0.114	0.3623443
0.1	0.001	0.001	100	0.322	-0.192	0.0122932
0.1	0.001	0.01	100	0.216	-0.121	0.0798015
0.1	0.001	0.1	100	0.022	-0.01	0.8485671
0.1	0.001	0.9	100	-18.673	0.656	1e-07
0.1	0.01	0.001	100	0.588	-0.348	3e-06
0.1	0.01	0.01	100	0.297	-0.153	0.0291941
0.1	0.01	0.1	100	0.014	-0.006	0.9105352
0.1	0.01	0.9	100	-18.316	0.655	0.0
0.1	0.1	0.001	100	0.578	-0.406	7e-07
0.1	0.1	0.01	100	0.588	-0.279	0.0006976
0.1	0.1	0.1	100	-0.085	0.026	0.6761541
0.1	0.1	0.9	100	-16.461	0.564	0.0
0.1	0.9	0.001	100	1.566	-0.873	1e-07
0.1	0.9	0.01	100	1.017	-0.442	0.0114148
0.1	0.9	0.1	100	1.183	-0.148	0.2778299
0.1	0.9	0.9	100	5.171	-0.147	0.239447
0.9	0.001	0.001	100	-1.537	0.095	0.2392945
0.9	0.001	0.01	100	-3.6	0.263	0.0005001
0.9	0.001	0.1	100	-9.194	0.443	0.0
0.9	0.001	0.9	100	-205.88	0.886	0.0
0.9	0.01	0.001	100	-3.425	0.337	1e-07
0.9	0.01	0.01	100	-2.643	0.244	0.0002448
0.9	0.01	0.1	100	-5.788	0.299	0.0001686
0.9	0.01	0.9	100	-112.471	0.716	1.3e-06
0.9	0.1	0.001	100	-0.68	0.24	1.3e-06
0.9	0.1	0.01	100	-0.712	0.242	1.7e-06
0.9	0.1	0.1	100	-0.411	0.07	0.2458226
0.9	0.1	0.9	100	5.856	-0.076	0.5769403
0.9	0.9	0.001	100	0.863	-0.84	0.0
0.9	0.9	0.01	100	0.775	-0.628	1e-07
0.9	0.9	0.1	100	2.674	-0.614	0.0
0.9	0.9	0.9	100	-3.351	0.099	0.4333738
0.001	0.001	0.001	200	1.706	-0.935	0.0
0.001	0.001	0.01	200	0.506	-0.351	0.0001512
0.001	0.001	0.1	200	0.389	-0.238	9e-07
0.001	0.001	0.9	200	-4.473	0.358	0.0013774
0.001	0.01	0.001	200	1.707	-0.916	0.0
0.001	0.01	0.01	200	0.603	-0.409	1.1e-05
0.001	0.01	0.1	200	0.306	-0.193	8.9e-05
0.001	0.01	0.9	200	-5.671	0.484	3.6e-06
0.001	0.1	0.001	200	1.912	-0.915	0.0
0.001	0.1	0.01	200	0.435	-0.28	0.0112557
0.001	0.1	0.1	200	0.01	-0.005	0.9281088
0.001	0.1	0.9	200	-5.662	0.429	5.6e-06
0.001	0.9	0.001	200	2.933	-0.906	0.0049582
0.001	0.9	0.01	200	0.186	-0.079	0.7190638
0.001	0.9	0.1	200	-1.437	0.24	0.0395658
0.001	0.9	0.9	200	-0.181	0.01	0.9188868
0.01	0.001	0.001	200	1.068	-0.802	0.0
0.01	0.001	0.01	200	0.467	-0.324	0.0001498
0.01	0.001	0.1	200	0.241	-0.143	0.0037128
0.01	0.001	0.9	200	-5.483	0.43	0.0001062
0.01	0.01	0.001	200	1.113	-0.817	0.0
0.01	0.01	0.01	200	0.394	-0.282	0.0013106
